
> admin_web@0.1.0 dev
> next dev

▲ Next.js 16.2.11 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://169.254.0.21:3000
- Environments: .env
✓ Ready in 675ms
⚠ Warning: Next.js inferred your workspace root, but it may not be correct.
 We detected multiple lockfiles and selected the directory of /home/user/package-lock.json as the root directory.
 To silence this warning, set `turbopack.root` in your Next.js config, or consider removing one of the lockfiles if it's not needed.
   See https://nextjs.org/docs/app/api-reference/config/next-config-js/turbopack#root-directory for more information.
 Detected additional lockfiles: 
   * /home/user/admin_web/package-lock.json


 GET /api/public/wallet?userId=1 200 in 22ms (next.js: 5ms, application-code: 16ms)
 GET /api/public/wishes 200 in 197ms (next.js: 168ms, application-code: 29ms)
 GET /api/public/intro-config 200 in 24ms (next.js: 12ms, application-code: 12ms)
 GET /api/public/pass/policies 200 in 47ms (next.js: 32ms, application-code: 15ms)
 GET /api/public/wishes/my 401 in 46ms (next.js: 37ms, application-code: 9ms)
 GET /api/public/wallet?userId=1 200 in 42ms (next.js: 27ms, application-code: 16ms)
 GET /api/public/healing-quotes 200 in 42ms (next.js: 29ms, application-code: 14ms)
 GET /api/public/attendance/status?userId=1 200 in 32ms (next.js: 25ms, application-code: 8ms)
 GET /api/public/page-configs/home 200 in 35ms (next.js: 20ms, application-code: 16ms)
 GET /api/public/notifications?userId=1&limit=50 200 in 29ms (next.js: 23ms, application-code: 7ms)
 GET /api/public/pass/policies 200 in 22ms (next.js: 6ms, application-code: 16ms)
 GET /api/public/pass/status?userId=1 200 in 13ms (next.js: 4ms, application-code: 10ms)
 GET /api/public/wallet?userId=1 200 in 24ms (next.js: 5ms, application-code: 19ms)
 GET /api/public/attendance/status?userId=1 200 in 17ms (next.js: 4ms, application-code: 13ms)
 GET /api/public/pass/status?userId=1 200 in 17ms (next.js: 4ms, application-code: 12ms)
 GET /api/public/wallet?userId=1 200 in 20ms (next.js: 5ms, application-code: 15ms)
 GET /api/public/wallet?userId=1 200 in 19ms (next.js: 4ms, application-code: 15ms)
 GET /api/public/wallet?userId=1 200 in 23ms (next.js: 5ms, application-code: 18ms)
 GET /api/public/wallet?userId=1 200 in 18ms (next.js: 4ms, application-code: 14ms)
 GET /api/public/intro-config 200 in 36ms (next.js: 11ms, application-code: 25ms)
 GET /api/public/healing-quotes 200 in 52ms (next.js: 39ms, application-code: 14ms)
 GET /api/public/wallet?userId=1 200 in 68ms (next.js: 55ms, application-code: 13ms)
 GET /api/public/wishes/my 401 in 78ms (next.js: 71ms, application-code: 6ms)
 GET /api/public/pass/policies 200 in 35ms (next.js: 20ms, application-code: 15ms)
 GET /api/public/attendance/status?userId=1 200 in 36ms (next.js: 26ms, application-code: 10ms)
 GET /api/public/page-configs/home 200 in 32ms (next.js: 18ms, application-code: 14ms)
 GET /api/public/notifications?userId=1&limit=50 200 in 28ms (next.js: 20ms, application-code: 9ms)
 GET /api/public/wallet?userId=1 200 in 22ms (next.js: 5ms, application-code: 17ms)
 GET /api/public/pass/policies 200 in 23ms (next.js: 5ms, application-code: 18ms)
 GET /api/public/attendance/status?userId=1 200 in 21ms (next.js: 7ms, application-code: 15ms)
 GET /api/public/pass/status?userId=1 200 in 21ms (next.js: 5ms, application-code: 16ms)
 GET /api/public/wallet?userId=1 200 in 23ms (next.js: 4ms, application-code: 19ms)
 GET /api/public/pass/status?userId=1 200 in 22ms (next.js: 5ms, application-code: 17ms)
 GET /api/public/wallet?userId=1 200 in 20ms (next.js: 5ms, application-code: 15ms)
 GET /api/public/wallet?userId=1 200 in 24ms (next.js: 5ms, application-code: 19ms)
 GET /api/public/wallet?userId=1 200 in 20ms (next.js: 5ms, application-code: 15ms)
 GET /api/public/wishes 200 in 27ms (next.js: 5ms, application-code: 22ms)
 GET /api/public/wishes 200 in 28ms (next.js: 8ms, application-code: 19ms)
 POST /api/public/auth/login 401 in 200ms (next.js: 6ms, application-code: 194ms)
 POST /api/public/auth/signup 200 in 807ms (next.js: 568ms, application-code: 238ms)
